"행정구역별(시군구)","직업별","항목","단위","2015 년",
"서울특별시","계","취업인구-현거주지","","4704568",
"서울특별시","계","취업인구-근무지","","5423139",
"서울특별시","계","남-현거주지","","2676084",
"서울특별시","계","남-근무지","","3082489",
"서울특별시","계","여-현거주지","","2028484",
"서울특별시","계","여-근무지","","2340650",
"서울특별시","1. 관리자","취업인구-현거주지","","124924",
"서울특별시","1. 관리자","취업인구-근무지","","132822",
"서울특별시","1. 관리자","남-현거주지","","99201",
"서울특별시","1. 관리자","남-근무지","","105817",
"서울특별시","1. 관리자","여-현거주지","","25723",
"서울특별시","1. 관리자","여-근무지","","27005",
"서울특별시","2. 전문가 및 관련 종사자","취업인구-현거주지","","1288705",
"서울특별시","2. 전문가 및 관련 종사자","취업인구-근무지","","1503328",
"서울특별시","2. 전문가 및 관련 종사자","남-현거주지","","685551",
"서울특별시","2. 전문가 및 관련 종사자","남-근무지","","814586",
"서울특별시","2. 전문가 및 관련 종사자","여-현거주지","","603154",
"서울특별시","2. 전문가 및 관련 종사자","여-근무지","","688742",
"서울특별시","3. 사무 종사자","취업인구-현거주지","","979576",
"서울특별시","3. 사무 종사자","취업인구-근무지","","1214648",
"서울특별시","3. 사무 종사자","남-현거주지","","498566",
"서울특별시","3. 사무 종사자","남-근무지","","619712",
"서울특별시","3. 사무 종사자","여-현거주지","","481010",
"서울특별시","3. 사무 종사자","여-근무지","","594936",
"서울특별시","4. 서비스 종사자","취업인구-현거주지","","503786",
"서울특별시","4. 서비스 종사자","취업인구-근무지","","566650",
"서울특별시","4. 서비스 종사자","남-현거주지","","206182",
"서울특별시","4. 서비스 종사자","남-근무지","","237520",
"서울특별시","4. 서비스 종사자","여-현거주지","","297604",
"서울특별시","4. 서비스 종사자","여-근무지","","329130",
"서울특별시","5. 판매 종사자","취업인구-현거주지","","661439",
"서울특별시","5. 판매 종사자","취업인구-근무지","","795204",
"서울특별시","5. 판매 종사자","남-현거주지","","359632",
"서울특별시","5. 판매 종사자","남-근무지","","435574",
"서울특별시","5. 판매 종사자","여-현거주지","","301807",
"서울특별시","5. 판매 종사자","여-근무지","","359630",
"서울특별시","6. 농림어업 숙련 종사자","취업인구-현거주지","","6284",
"서울특별시","6. 농림어업 숙련 종사자","취업인구-근무지","","5285",
"서울특별시","6. 농림어업 숙련 종사자","남-현거주지","","4457",
"서울특별시","6. 농림어업 숙련 종사자","남-근무지","","3736",
"서울특별시","6. 농림어업 숙련 종사자","여-현거주지","","1827",
