"시군구별(1)",시군구별(2),2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계,소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소)
"대구",북구,1569,6733,1436,5865,305,411,1131,5454,0,0,121,797,4,4,117,793,4,56,3,25,1,31,8,15,0,0,1623,6935,1490,6067,313,418,1177,5649,0,0,121,797,4,4,117,793,4,56,3,25,1,31,8,15,0,0
"대구",서구,813,3882,705,3480,124,199,581,3281,0,0,48,181,1,1,47,180,1,14,1,14,0,0,59,207,0,0,825,3934,712,3514,122,197,590,3317,0,0,48,181,1,1,47,180,1,14,1,14,0,0,64,225,0,0
"대구",수성구,1056,4123,1007,3740,331,440,676,3300,0,0,45,377,0,0,45,377,0,0,0,0,0,0,4,6,0,0,1066,4155,1019,3774,332,440,687,3334,0,0,45,377,0,0,45,377,0,0,0,0,0,0,2,4,0,0
"대구",중구,959,3374,936,3230,272,305,664,2925,0,0,5,24,0,0,5,24,8,110,7,97,1,13,8,8,2,2,942,3334,919,3190,263,296,656,2894,0,0,5,24,0,0,5,24,8,110,7,97,1,13,8,8,2,2
"대구",달서구,2196,9172,1961,7907,459,514,1502,7393,0,0,204,1115,7,7,197,1108,16,133,10,94,6,39,11,13,4,4,2232,9223,1999,7958,464,520,1535,7438,0,0,204,1115,7,7,197,1108,16,135,10,96,6,39,9,11,4,4
"대구",달성군,567,2768,494,2197,127,177,367,2020,0,0,73,571,0,0,73,571,0,0,0,0,0,0,0,0,0,0,585,2804,512,2233,140,193,372,2040,0,0,73,571,0,0,73,571,0,0,0,0,0,0,0,0,0,0
"인천",소계,8220,34999,7564,30917,1435,1874,6129,29043,0,0,478,3229,3,3,475,3226,46,587,40,511,6,76,120,253,12,13,8290,35078,7630,31007,1430,1870,6200,29137,0,0,483,3227,3,3,480,3224,45,578,39,502,6,76,120,253,12,13
"인천",미추홀구,1448,6342,1371,5743,263,326,1108,5417,0,0,70,546,1,1,69,545,4,47,3,40,1,7,3,6,0,0,1465,6402,1388,5803,258,323,1130,5480,0,0,70,546,1,1,69,545,4,47,3,40,1,7,3,6,0,0
"인천",동구,211,809,188,712,40,60,148,652,0,0,6,44,0,0,6,44,2,30,2,30,0,0,15,23,0,0,221,828,198,731,45,70,153,661,0,0,6,44,0,0,6,44,2,30,2,30,0,0,15,23,0,0
"인천",부평구,1153,4881,1069,4398,159,227,910,4171,0,0,45,311,0,0,45,311,7,105,6,94,1,11,32,67,0,0,1153,4850,1069,4367,158,226,911,4141,0,0,45,311,0,0,45,311,7,105,6,94,1,11,32,67,0,0
"인천",중구,494,2158,465,1993,71,84,394,1909,0,0,5,15,0,0,5,15,9,102,7,75,2,27,13,46,2,2,510,2210,481,2045,72,85,409,1960,0,0,5,15,0,0,5,15,9,102,7,75,2,27,13,46,2,2
"인천",서구,1466,6342,1321,5393,295,386,1026,5007,0,0,128,859,1,1,127,858,10,83,10,83,0,0,7,7,0,0,1475,6338,1331,5398,295,386,1036,5012,0,0,128,859,1,1,127,858,9,74,9,74,0,0,7,7,0,0
"인천",남동구,1757,7556,1602,6594,263,344,1339,6250,0,0,109,756,1,1,108,755,8,140,7,110,1,30,28,55,10,11,1753,7508,1594,6556,259,337,1335,6219,0,0,113,746,1,1,112,745,8,140,7,110,1,30,28,55,10,11
"인천",연수구,524,1900,510,1834,159,178,351,1656,0,0,0,0,0,0,0,0,2,27,2,27,0,0,12,39,0,0,526,1902,512,1836,161,180,351,1656,0,0,0,0,0,0,0,0,2,27,2,27,0,0,12,39,0,0
"인천",계양구,958,4055,864,3469,166,239,698,3230,0,0,82,538,0,0,82,538,2,38,2,38,0,0,10,10,0,0,978,4084,883,3490,163,233,720,3257,0,0,83,546,0,0,83,546,2,38,2,38,0,0,10,10,0,0
"인천",강화군,195,882,160,707,19,30,141,677,0,0,33,160,0,0,33,160,2,15,1,14,1,1,0,0,0,0,195,882,160,707,19,30,141,677,0,0,33,160,0,0,33,160,2,15,1,14,1,1,0,0,0,0
"인천",옹진군,14,74,14,74,0,0,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,74,14,74,0,0,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주",소계,11035,39684,10640,37583,2387,3412,8253,34171,0,0,295,1605,5,12,290,1593,27,410,24,330,3,80,70,83,3,3,11104,39793,10698,37672,2390,3433,8308,34239,0,0,295,1604,5,15,290,1589,27,410,24,330,3,80,81,104,3,3
"광주",동구,1610,6011,1514,5338,252,402,1262,4936,0,0,61,394,0,0,61,394,15,259,13,194,2,65,17,17,3,3,1587,5924,1491,5251,245,387,1246,4864,0,0,61,394,0,0,61,394,15,259,13,194,2,65,17,17,3,3
