"시군구별(1)","시군구별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017
"시군구별(1)","시군구별(2)",성별(1),당뇨병,당뇨병,당뇨병,당뇨병,고혈압,고혈압,고혈압,고혈압
"시군구별(1)","시군구별(2)",성별(1),소계,정상,공복혈당장애,당뇨병,소계,정상,고혈압전단계,고혈압
"경기","동두천시",남자,344,32,122,190,532,48,165,319
"경기","동두천시",여자,120,11,42,67,274,48,88,138
"경기","안산시상록구",합계,1605,206,548,851,2972,357,992,1623
"경기","안산시상록구",남자,1217,160,412,645,2220,255,717,1248
"경기","안산시상록구",여자,388,46,136,206,752,102,275,375
"경기","안산시단원구",합계,1846,314,603,929,3635,518,1089,2028
"경기","안산시단원구",남자,1459,269,452,738,2769,374,793,1602
"경기","안산시단원구",여자,387,45,151,191,866,144,296,426
"경기","고양시덕양구",합계,1344,132,491,721,2499,261,915,1323
"경기","고양시덕양구",남자,975,93,333,549,1663,150,591,922
"경기","고양시덕양구",여자,369,39,158,172,836,111,324,401
"경기","고양시일산동구",합계,750,63,300,387,1381,115,550,716
"경기","고양시일산동구",남자,541,39,213,289,910,66,345,499
"경기","고양시일산동구",여자,209,24,87,98,471,49,205,217
"경기","고양시일산서구",합계,853,73,322,458,1728,144,588,996
"경기","고양시일산서구",남자,620,51,235,334,1130,82,363,685
"경기","고양시일산서구",여자,233,22,87,124,598,62,225,311
"경기","과천시",합계,134,11,44,79,331,42,108,181
"경기","과천시",남자,91,9,32,50,224,24,72,128
"경기","과천시",여자,43,2,12,29,107,18,36,53
"경기","구리시",합계,675,60,249,366,1194,102,407,685
"경기","구리시",남자,463,35,166,262,778,66,263,449
"경기","구리시",여자,212,25,83,104,416,36,144,236
"경기","남양주시",합계,1840,162,666,1012,3503,263,1341,1899
"경기","남양주시",남자,1276,109,447,720,2292,153,833,1306
"경기","남양주시",여자,564,53,219,292,1211,110,508,593
"경기","오산시",합계,862,90,310,462,1274,140,441,693
"경기","오산시",남자,658,70,236,352,989,86,329,574
"경기","오산시",여자,204,20,74,110,285,54,112,119
"경기","시흥시",합계,1926,296,644,986,3603,348,1228,2027
"경기","시흥시",남자,1516,233,507,776,2739,253,887,1599
"경기","시흥시",여자,410,63,137,210,864,95,341,428
"경기","군포시",합계,1186,125,442,619,1879,166,687,1026
"경기","군포시",남자,855,93,312,450,1407,122,500,785
"경기","군포시",여자,331,32,130,169,472,44,187,241
"경기","의왕시",합계,660,64,223,373,1001,75,370,556
"경기","의왕시",남자,465,52,145,268,711,53,259,399
"경기","의왕시",여자,195,12,78,105,290,22,111,157
"경기","하남시",합계,520,49,163,308,991,102,376,513
"경기","하남시",남자,401,34,128,239,678,54,247,377
"경기","하남시",여자,119,15,35,69,313,48,129,136
"경기","용인시처인구",합계,762,81,247,434,1493,159,460,874
"경기","용인시처인구",남자,563,59,185,319,1025,89,300,636
"경기","용인시처인구",여자,199,22,62,115,468,70,160,238
"경기","용인시기흥구",합계,1122,101,395,626,2188,219,811,1158
