"행정구역별(시군구)","성별",2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별",취업인구(15세 이상)-계,임금 근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자,미상
"여주시","계",52880,33308,12637,2640,4295,
"여주시","남자",31352,19099,9622,1912,719,
"여주시","여자",21528,14209,3015,728,3576,
"연천군","계",21895,12141,6282,894,2578,
"연천군","남자",13328,7552,4793,660,323,
"연천군","여자",8567,4589,1489,234,2255,
"가평군","계",28118,15674,7679,1691,3074,
"가평군","남자",16524,9221,5628,1235,440,
"가평군","여자",11594,6453,2051,456,2634,
"양평군","계",44933,26335,11963,3372,3263,
"양평군","남자",26866,15145,8672,2487,562,
"양평군","여자",18067,11190,3291,885,2701,
"강원도","계",712012,462041,159010,40756,50205,
"강원도","남자",412923,267983,109064,27910,7966,
"강원도","여자",299089,194058,49946,12846,42239,
"동부","계",406173,297764,66255,27147,15007,
"동부","남자",233412,169681,42592,18485,2654,
"동부","여자",172761,128083,23663,8662,12353,
"읍부","계",131001,83727,30858,6060,10356,
"읍부","남자",77382,49908,21624,4251,1599,
"읍부","여자",53619,33819,9234,1809,8757,
"면부","계",174838,80550,61897,7549,24842,
"면부","남자",102129,48394,44848,5174,3713,
"면부","여자",72709,32156,17049,2375,21129,
"춘천시","계",123172,88360,21578,7921,5313,
"춘천시","남자",68546,48273,14009,5394,870,
"춘천시","여자",54626,40087,7569,2527,4443,
"원주시","계",151630,107538,27556,9696,6840,
"원주시","남자",88090,61292,19010,6754,1034,
"원주시","여자",63540,46246,8546,2942,5806,
"강릉시","계",96697,64270,20245,6766,5416,
"강릉시","남자",55168,36135,13504,4627,902,
"강릉시","여자",41529,28135,6741,2139,4514,
"동해시","계",38996,28066,6574,2583,1773,
"동해시","남자",23765,17619,4121,1685,340,
"동해시","여자",15231,10447,2453,898,1433,
"태백시","계",20380,15329,3019,1142,890,
"태백시","남자",12262,9464,1867,789,142,
"태백시","여자",8118,5865,1152,353,748,
"속초시","계",36850,26004,6470,2491,1885,
"속초시","남자",21151,14795,4268,1742,346,
"속초시","여자",15699,11209,2202,749,1539,
"삼척시","계",30980,19869,7326,1372,2413,
"삼척시","남자",18374,12659,4490,861,364,
"삼척시","여자",12606,7210,2836,511,2049,
"홍천군","계",35382,17705,12043,1361,4273,
"홍천군","남자",20416,10392,8514,914,596,
"홍천군","여자",14966,7313,3529,447,3677,
"횡성군","계",23007,10150,8389,880,3588,
"횡성군","남자",13109,5728,6210,635,536,
"횡성군","여자",9898,4422,2179,245,3052,
"영월군","계",19258,9783,6168,795,2512,
"영월군","남자",10897,5596,4367,588,346,
"영월군","여자",8361,4187,1801,207,2166,
"평창군","계",22169,10815,7380,1072,2902,
"평창군","남자",13002,6261,5519,777,445,
"평창군","여자",9167,4554,1861,295,2457,
"정선군","계",19734,11373,5366,728,2267,
"정선군","남자",11700,6936,3941,469,354,
"정선군","여자",8034,4437,1425,259,1913,
"철원군","계",23232,12692,6808,1156,2576,
"철원군","남자",14408,8132,5090,787,399,
"철원군","여자",8824,4560,1718,369,2177,
"화천군","계",13520,8472,3391,414,1243,
"화천군","남자",8442,5556,2363,263,260,
"화천군","여자",5078,2916,1028,151,983,
"양구군","계",11818,6720,3328,403,1367,
"양구군","남자",7168,4215,2398,274,281,
"양구군","여자",4650,2505,930,129,1086,
"인제군","계",16787,9886,4410,763,1728,
"인제군","남자",10402,6410,3174,506,312,
"인제군","여자",6385,3476,1236,257,1416,
"고성군","계",14613,8140,4547,524,1402,
"고성군","남자",8395,4707,3106,371,211,
"고성군","여자",6218,3433,1441,153,1191,
"양양군","계",13787,6869,4412,689,1817,
"양양군","남자",7628,3813,3113,474,228,
"양양군","여자",6159,3056,1299,215,1589,
"충청북도","계",752702,508489,153842,40914,49457,
"충청북도","남자",441888,296978,108116,28778,8016,
"충청북도","여자",310814,211511,45726,12136,41441,
"동부","계",434415,325669,67095,27439,14212,
"동부","남자",252218,185672,44479,19176,2891,
"동부","여자",182197,139997,22616,8263,11321,
"읍부","계",148739,104699,27930,7576,8534,
"읍부","남자",89488,63207,19636,5395,1250,
"읍부","여자",59251,41492,8294,2181,7284,
"면부","계",169548,78121,58817,5899,26711,
"면부","남자",100182,48099,44001,4207,3875,
"면부","여자",69366,30022,14816,1692,22836,
"충주시","계",98344,62886,22850,5273,7335,
"충주시","남자",57645,36641,15937,3904,1163,
"충주시","여자",40699,26245,6913,1369,6172,
"제천시","계",63943,39649,14940,3742,5612,
"제천시","남자",37764,23401,10664,2758,941,
"제천시","여자",26179,16248,4276,984,4671,
"청주시","계",386136,290753,58864,23464,13055,
"청주시","남자",225580,167502,39399,16014,2665,
"청주시","여자",160556,123251,19465,7450,10390,
"상당구","계",77956,55018,14742,4724,3472,
"상당구","남자",45373,31226,10142,3279,726,
"상당구","여자",32583,23792,4600,1445,2746,
"서원구","계",97750,74109,14493,6199,2949,
"서원구","남자",56507,42060,9688,4124,635,
"서원구","여자",41243,32049,4805,2075,2314,
"흥덕구","계",123913,94977,17043,7856,4037,
"흥덕구","남자",72110,54522,11363,5419,806,
"흥덕구","여자",51803,40455,5680,2437,3231,
"청원구","계",86517,66649,12586,4685,2597,
"청원구","남자",51590,39694,8206,3192,498,
"청원구","여자",34927,26955,4380,1493,2099,
"보은군","계",17590,7089,6480,544,3477,
"보은군","남자",9859,3942,5046,424,447,
"보은군","여자",7731,3147,1434,120,3030,
"옥천군","계",23926,12443,7463,983,3037,
"옥천군","남자",13944,7241,5541,715,447,
"옥천군","여자",9982,5202,1922,268,2590,
"영동군","계",24884,10498,9101,794,4491,
"영동군","남자",14103,6043,6856,555,649,
"영동군","여자",10781,4455,2245,239,3842,
"진천군","계",34316,23914,7035,1618,1749,
