행정구역별,,20세이상 인구-계,사회분야단체,경제분야단체,문화분야단체,정치분야단체,종교분야단체,지역단체,친목단체,교육단체,기타,없음,,,,,,,,,,
광주광역시,서구,232498,11266,4336,25822,1018,17947,4242,50070,6669,91,148333,0.091173948,0.035090559,0.208973342,0.008238512,0.145242219,0.034329832,0.405208553,0.053971157,0.000736449,1.200435395
광주광역시,남구,171311,7885,2387,15725,617,14832,2367,29151,4461,57,116155,0.063812052,0.019317612,0.127259926,0.004993283,0.120033019,0.019155755,0.23591441,0.036102164,0.000461292,0.940023955
광주광역시,북구,354219,14307,4989,30779,1086,28921,4931,53533,7751,170,250127,0.115784277,0.040375184,0.249089555,0.008788825,0.234053057,0.039905799,0.433234061,0.062727611,0.001375783,2.024238059
광주광역시,광산구,287978,11256,3789,26451,972,19560,4497,42322,6544,71,205460,0.091093019,0.030663775,0.214063739,0.007866242,0.158295971,0.036393506,0.34250522,0.052959552,0.000574592,1.662755127
대전광역시,동구,194244,6855,1745,17051,411,12034,2233,30023,3477,64,139106,0.055476426,0.014122008,0.137991033,0.003326158,0.097389249,0.018071314,0.242971368,0.028138808,0.000517942,1.12576275
대전광역시,중구,197232,7649,2164,15892,469,13991,2256,30537,3948,82,141204,0.061902141,0.017512908,0.12861143,0.003795542,0.113226939,0.018257449,0.247131088,0.031950537,0.000663613,1.142741531
대전광역시,서구,374776,16843,6076,43212,922,36468,5390,79446,10904,91,232964,0.136307722,0.049172102,0.349707848,0.007461599,0.295129728,0.043620413,0.642943852,0.088244339,0.000736449,1.885340628
대전광역시,유성구,255625,13344,4791,35842,833,27059,5439,45920,9627,462,160511,0.107990871,0.038772802,0.29006361,0.006741337,0.218984187,0.044016963,0.371623262,0.077909781,0.003738893,1.298990013
대전광역시,대덕구,153771,6175,2946,13532,351,11013,2431,26718,2842,80,105822,0.049973294,0.02384151,0.109512325,0.002840587,0.089126459,0.019673697,0.216224528,0.022999854,0.000647427,0.856400628
울산광역시,중구,183998,10739,4652,19379,603,9733,3327,34983,4113,42,124085,0.08690902,0.037647897,0.156831167,0.004879983,0.078767622,0.026924882,0.283111859,0.033285855,0.000339899,1.004200185
울산광역시,남구,261026,16119,6864,32958,1195,15545,4430,54498,7694,27,168097,0.130448505,0.055549261,0.266723856,0.009670945,0.125803214,0.035851286,0.441043653,0.062266319,0.000218507,1.360382306
울산광역시,동구,133923,5673,3770,12902,501,6875,2208,22985,2501,16,93294,0.045910687,0.030510011,0.104413836,0.004054513,0.055638282,0.017868993,0.186013952,0.020240196,0.000129485,0.755013515
울산광역시,북구,136590,7375,9132,17221,507,7391,3092,27899,3525,49,85176,0.059684703,0.073903825,0.139366816,0.00410307,0.059814188,0.025023065,0.225782173,0.028527265,0.000396549,0.689315831
울산광역시,울주군,163257,8722,3340,18410,509,8853,4087,35720,3893,96,104627,0.07058576,0.027030089,0.148989204,0.004119256,0.071645922,0.033075441,0.289076283,0.03150543,0.000776913,0.846729683
세종특별자치시,세종시,148298,7066,2679,16370,511,11046,4581,25373,4900,81,97929,0.057184015,0.021680721,0.132479808,0.004135442,0.089393522,0.037073305,0.205339657,0.039654921,0.00065552,0.792523833
경기도,수원시 장안구,225494,8518,2946,23066,535,17106,3777,35157,6041,124,156015,0.06893482,0.02384151,0.186669472,0.00432967,0.138436139,0.030566661,0.284520014,0.048888853,0.001003512,1.2626046
경기도,수원시 권선구,262649,8007,2537,22239,420,17267,3848,36716,5356,154,192093,0.064799378,0.020531538,0.179976693,0.003398993,0.139739087,0.031141252,0.297136753,0.043345257,0.001246298,1.55457812
경기도,수원시 팔달구,156612,4649,1508,11589,410,10518,1638,20106,2532,32,117764,0.037623618,0.012204004,0.093787935,0.003318065,0.085120502,0.013256074,0.162714663,0.020491074,0.000258971,0.953045336
경기도,수원시 영통구,242312,11126,3253,30972,596,21451,5240,39201,8828,197,159849,0.09004095,0.026326012,0.250651474,0.004823333,0.173599534,0.042406487,0.317247463,0.071443601,0.00159429,1.293632553
경기도,성남시 수정구,176725,5506,1359,11361,387,9859,1922,21064,2207,128,136065,0.044559183,0.010998171,0.091942767,0.003131929,0.07978732,0.015554441,0.170467604,0.0178609,0.001035884,1.101152421
경기도,성남시 중원구,195393,6056,1976,13918,474,13372,2413,31421,3143,140,140505,0.049010246,0.015991454,0.112636162,0.003836007,0.108217471,0.019528026,0.254285159,0.025435799,0.001132998,1.137084635
경기도,성남시 분당구,365703,18548,5512,50677,1093,43333,9033,68216,14211,346,225227,0.150106016,0.04460774,0.410120907,0.008845475,0.350687082,0.073102633,0.552061247,0.115007364,0.002800123,1.822726316
경기도,의정부시,327319,9174,3122,24335,607,21157,3737,47119,5475,91,239754,0.074243724,0.02526585,0.196939288,0.004912355,0.171220239,0.030242947,0.381326579,0.044308305,0.000736449,1.940291019
경기도,안양시 만안구,193914,6247,1865,15446,462,15031,2876,26682,3585,140,140778,0.050555978,0.015093149,0.125002023,0.003738893,0.121643494,0.023275011,0.215933186,0.029012835,0.001132998,1.139293981
경기도,안양시 동안구,260566,10632,2986,30215,767,24914,4495,43915,7883,110,172511,0.086043086,0.024165223,0.244525193,0.006207209,0.201625042,0.036377321,0.355397116,0.063795866,0.000890213,1.396104106
경기도,부천시 원미구,340683,10543,3399,30113,696,25345,4795,49691,6806,237,245680,0.085322823,0.027507567,0.243699723,0.005632617,0.205113057,0.038805173,0.402141366,0.055079876,0.001918003,1.988249195
경기도,부천시 소사구,172647,4365,1688,12950,373,13411,2323,24009,3121,67,125454,0.035325251,0.013660716,0.104802292,0.00301863,0.108533092,0.01879967,0.194301021,0.025257757,0.00054222,1.015279284
경기도,부천시 오정구,141168,3733,1026,8896,265,9611,1372,16550,1831,59,108374,0.030210576,0.008303255,0.071993914,0.002144603,0.077780296,0.011103378,0.13393652,0.014817992,0.000477478,0.877053558
경기도,광명시,257243,8791,2546,21624,658,19483,3996,33727,5323,114,188137,0.071144166,0.020604373,0.174999595,0.005325089,0.157672823,0.032338993,0.272947251,0.043078193,0.000922584,1.522562841
경기도,평택시,336472,11274,4037,26604,767,20624,4583,46677,6686,148,246724,0.09123869,0.032670799,0.215301944,0.006207209,0.166906754,0.037089491,0.377749543,0.054108735,0.00119774,1.996698121
경기도,동두천시,73846,2902,685,4814,167,4275,878,9908,1222,40,55077,0.023485425,0.005543596,0.038958937,0.001351504,0.034596896,0.007105514,0.080183869,0.009889452,0.000323714,0.445729408
경기도,안산시 상록구,287875,7995,2550,23961,580,21631,3077,36740,4915,234,212632,0.064702264,0.020636745,0.193912565,0.004693848,0.175056245,0.024901672,0.297330981,0.039776314,0.001893725,1.720796983
경기도,안산시 단원구,243655,6785,2396,21964,556,18004,3275,36010,4380,57,172711,0.054909927,0.019390447,0.177751161,0.00449962,0.145703511,0.026504055,0.291423207,0.035446644,0.000461292,1.397722675
경기도,고양시 덕양구,328951,11244,3209,29433,952,26958,5005,42516,7024,209,237036,0.090995905,0.025969927,0.238196591,0.007704385,0.21816681,0.04050467,0.344075231,0.056844116,0.001691404,1.918294677
경기도,고양시 일산동구,213029,8931,2712,23823,543,20589,3382,32843,5856,107,143885,0.072277164,0.021947785,0.192795753,0.004394413,0.166623505,0.027369989,0.265793179,0.047391677,0.000865934,1.164438438
경기도,고양시 일산서구,213262,7998,2854,22424,542,20695,3877,32068,6604,36,145779,0.064726543,0.023096968,0.181473868,0.00438632,0.167481346,0.031375945,0.259521228,0.053445122,0.000291342,1.179766279
경기도,과천시,50126,3322,910,7840,297,7335,1383,9351,2022,40,29093,0.026884418,0.007364485,0.063447874,0.002403574,0.059360989,0.011192399,0.075676157,0.016363725,0.000323714,0.235445025
경기도,구리시,138840,4613,1414,12435,360,9628,1912,19350,3226,36,100192,0.037332276,0.011443277,0.100634479,0.002913423,0.077917874,0.015473512,0.156596475,0.026107505,0.000291342,0.810837933
경기도,남양주시,472073,15499,4587,45480,976,40004,8871,68919,11195,253,329584,0.125430944,0.037121862,0.368062412,0.007898613,0.323746014,0.071791593,0.557750514,0.090599356,0.002047489,2.667270932
경기도,오산시,151712,4786,1330,14092,303,8906,2235,17711,2784,72,112558,0.038732337,0.010763479,0.114044316,0.002452131,0.072074843,0.0180875,0.143332308,0.02253047,0.000582685,0.910914005
경기도,시흥시,297432,8352,2409,23329,715,17122,4653,34133,5474,333,225711,0.067591409,0.019495654,0.188797889,0.005786381,0.138565625,0.03765599,0.276232944,0.044300212,0.002694916,1.826643251
경기도,군포시,214851,7627,2520,23409,601,18218,3302,33597,5189,194,146828,0.061724099,0.02039396,0.189445317,0.004863797,0.147435379,0.026722561,0.271895182,0.041993752,0.001570011,1.188255669
경기도,의왕시,119601,4801,1311,13696,387,11364,2355,18597,3191,139,80676,0.03885373,0.010609715,0.110839551,0.003131929,0.091967046,0.019058641,0.150502565,0.025824256,0.001124905,0.652898046
경기도,하남시,120889,4199,1280,13006,355,10482,2187,19735,2751,52,82591,0.03398184,0.010358837,0.105255491,0.002872959,0.08482916,0.017699043,0.159712219,0.022263406,0.000420828,0.668395837
경기도,용인시 처인구,171757,6581,1749,15099,405,12901,3177,26052,3443,97,121172,0.053258987,0.014154379,0.122193807,0.003277601,0.104405743,0.025710956,0.210834696,0.027863652,0.000785006,0.980625738
경기도,용인시 기흥구,297274,12604,3474,34017,714,35547,6771,47246,9311,126,192365,0.102002169,0.02811453,0.275294175,0.005778289,0.287676222,0.054796627,0.382354369,0.075352443,0.001019698,1.556779373
경기도,용인시 수지구,244621,10762,3606,34419,550,32121,5953,47072,9477,99,147022,0.087095156,0.029182785,0.278547497,0.004451063,0.259950148,0.048176683,0.380946215,0.076695855,0.000801191,1.18982568
경기도,파주시,306936,10407,3059,26325,815,22603,5170,46077,6724,46,217333,0.084222197,0.024756001,0.213044041,0.006595665,0.182922487,0.041839988,0.372893838,0.054416263,0.000372271,1.758841429
경기도,이천시,153959,6253,2463,13118,326,10442,3422,27977,3067,69,106073,0.050604535,0.019932668,0.106161889,0.002638266,0.084505446,0.027693702,0.226413415,0.024820744,0.000558406,0.858431931
경기도,안성시,144519,5558,1978,12535,485,10227,3068,26503,3315,93,98976,0.044980011,0.01600764,0.101443763,0.003925028,0.082765486,0.024828836,0.214484567,0.026827768,0.000752634,0.800997038
경기도,김포시,253268,8422,2984,24090,636,21829,5066,38114,6638,35,175551,0.068157908,0.024149038,0.194956541,0.005147047,0.176658628,0.040998333,0.308450545,0.053720279,0.000283249,1.420706343
경기도,화성시,420431,17210,5771,44593,1147,31471,9729,62697,11829,276,291054,0.139277795,0.046703786,0.360884062,0.009282489,0.254689801,0.078735251,0.507396857,0.095730217,0.002233624,2.355453766
경기도,광주시,233659,7387,1894,20998,575,17957,3819,32550,4240,70,167817,0.059781817,0.015327841,0.169933477,0.004653384,0.145323147,0.03090656,0.263421977,0.034313646,0.000566499,1.35811631
경기도,양주시,151681,5253,1525,11877,382,9970,2795,20475,3233,110,111003,0.042511694,0.012341583,0.096118673,0.003091465,0.080685625,0.022619491,0.165700921,0.026164155,0.000890213,0.898329638
경기도,포천시,120813,4419,1157,8675,224,5931,2038,21762,1791,60,85489,0.035762265,0.009363417,0.070205396,0.001812796,0.04799864,0.01649321,0.176116407,0.014494278,0.00048557,0.69184889
경기도,여주시,84553,3613,1469,7243,211,5586,2972,15276,1556,23,57841,0.029239435,0.011888384,0.058616448,0.001707589,0.04520661,0.024051924,0.12362624,0.012592461,0.000186135,0.46809802
경기도,연천군,35162,1934,437,2798,153,3330,1059,6933,699,,22332,0.015651555,0.003536572,0.022643769,0.001238205,0.026949161,0.008570319,0.056107667,0.005656896,0,0.180729327
경기도,가평군,47396,2136,705,4468,131,3578,1211,10274,798,4,30742,0.017286309,0.005705453,0.036158814,0.001060162,0.028956185,0.009800431,0.083145849,0.006458087,3.23714E-05,0.24879012
경기도,양평군,81987,4554,1368,8586,273,7090,3737,17894,2040,58,50270,0.036854798,0.011071007,0.069485133,0.002209346,0.057378243,0.030242947,0.144813298,0.016509396,0.000469385,0.406827121
강원도,춘천시,217549,10995,3050,23679,929,17212,3072,40349,5332,118,143662,0.088980788,0.024683165,0.191630384,0.007518249,0.139293981,0.024861208,0.326538044,0.043151029,0.000954955,1.162633734
강원도,원주시,252685,11784,3017,23377,795,18073,4037,41611,6236,85,175612,0.095366039,0.024416102,0.189186346,0.006433809,0.146261917,0.032670799,0.33675121,0.050466957,0.000687891,1.421200006
강원도,강릉시,170888,8108,2791,15676,376,9158,3764,43210,4323,28,106846,0.065616755,0.022587119,0.126863377,0.003042908,0.074114239,0.030461454,0.349691663,0.034985352,0.0002266,0.864687697
강원도,동해시,69914,3522,913,6401,189,3348,1062,11090,1478,28,49953,0.028502986,0.007388764,0.051802276,0.001529547,0.027094832,0.008594597,0.089749607,0.011961219,0.0002266,0.40426169
강원도,태백시,37229,2497,1340,3452,129,2566,790,6256,968,11,24764,0.020207824,0.010844407,0.027936487,0.001043976,0.02076623,0.006393344,0.050628814,0.00783387,8.90213E-05,0.200411116
강원도,속초시,62118,3434,1229,5028,196,3284,864,11850,1396,34,42555,0.027790816,0.009946102,0.040690805,0.001586197,0.02657689,0.006992215,0.095900167,0.011297606,0.000275157,0.344390852
강원도,삼척시,56439,3312,908,5098,270,2275,1384,11561,1094,20,38522,0.02680349,0.0073483,0.041257304,0.002185067,0.018411213,0.011200492,0.093561336,0.008853568,0.000161857,0.311752424
강원도,홍천군,53842,2687,706,3866,140,3346,1102,10061,780,24,37285,0.021745464,0.005713546,0.031286924,0.001132998,0.027078646,0.008918311,0.081422074,0.006312416,0.000194228,0.301741579
강원도,횡성군,35208,2124,407,2880,72,2910,895,7287,561,6,23040,0.017189194,0.003293786,0.023307382,0.000582685,0.023550168,0.007243093,0.058972533,0.004540084,4.8557E-05,0.186459058
강원도,영월군,30890,2580,508,2916,118,2122,1192,7232,666,12,19054,0.02087953,0.004111163,0.023598725,0.000954955,0.017173009,0.009646667,0.058527427,0.005389832,9.71141E-05,0.154200994
강원도,평창군,33760,2767,596,2609,64,2056,1007,6591,656,4,22948,0.022392891,0.004823333,0.021114222,0.000517942,0.016638881,0.008149491,0.053339916,0.005308904,3.23714E-05,0.185714517
강원도,정선군,30944,3082,717,2630,198,2153,761,5888,572,,19963,0.024942136,0.005802567,0.021284172,0.001602383,0.017423887,0.006158652,0.047650648,0.004629105,0,0.161557386
강원도,철원군,36109,2272,576,3407,165,2557,845,7512,896,12,23673,0.018386935,0.004661476,0.02757231,0.001335319,0.020693395,0.006838451,0.060793422,0.007251186,9.71141E-05,0.191581827
강원도,화천군,20169,1426,207,1847,118,1671,360,4059,438,8,12950,0.011540391,0.001675218,0.014947477,0.000954955,0.013523137,0.002913423,0.032848842,0.003544664,6.47427E-05,0.104802292
강원도,양구군,17494,962,326,1789,41,1431,444,3667,355,12,10933,0.007785313,0.002638266,0.014478093,0.000331806,0.011580856,0.003593221,0.029676448,0.002872959,9.71141E-05,0.088479031
강원도,인제군,24618,1430,353,2265,77,1656,566,4649,646,16,16308,0.011572763,0.002856773,0.018330285,0.000623149,0.013401745,0.004580548,0.037623618,0.005227975,0.000129485,0.131978052
강원도,고성군,23597,1391,297,1426,59,1247,269,5315,389,5,15733,0.011257142,0.002403574,0.011540391,0.000477478,0.010091773,0.002176974,0.04301345,0.003148115,4.04642E-05,0.127324669
