"행정구역(시군구)별","연령별","항목","단위","2021. 02 월",
"서울특별시","98세","여자인구수","명","1132",
"서울특별시","99세","총인구수","명","1092",
"서울특별시","99세","남자인구수","명","304",
"서울특별시","99세","여자인구수","명","788",
"서울특별시","100세 이상","총인구수","명","6873",
"서울특별시","100세 이상","남자인구수","명","1831",
"서울특별시","100세 이상","여자인구수","명","5042",
"종로구","계","총인구수","명","148884",
"종로구","계","남자인구수","명","72372",
"종로구","계","여자인구수","명","76512",
"종로구","0세","총인구수","명","469",
"종로구","0세","남자인구수","명","236",
"종로구","0세","여자인구수","명","233",
"종로구","1세","총인구수","명","589",
"종로구","1세","남자인구수","명","301",
"종로구","1세","여자인구수","명","288",
"종로구","2세","총인구수","명","561",
"종로구","2세","남자인구수","명","292",
"종로구","2세","여자인구수","명","269",
"종로구","3세","총인구수","명","633",
"종로구","3세","남자인구수","명","307",
"종로구","3세","여자인구수","명","326",
"종로구","4세","총인구수","명","766",
"종로구","4세","남자인구수","명","389",
"종로구","4세","여자인구수","명","377",
"종로구","5세","총인구수","명","834",
"종로구","5세","남자인구수","명","426",
"종로구","5세","여자인구수","명","408",
"종로구","6세","총인구수","명","812",
"종로구","6세","남자인구수","명","410",
"종로구","6세","여자인구수","명","402",
"종로구","7세","총인구수","명","830",
"종로구","7세","남자인구수","명","407",
"종로구","7세","여자인구수","명","423",
"종로구","8세","총인구수","명","989",
"종로구","8세","남자인구수","명","497",
"종로구","8세","여자인구수","명","492",
"종로구","9세","총인구수","명","906",
"종로구","9세","남자인구수","명","457",
"종로구","9세","여자인구수","명","449",
"종로구","10세","총인구수","명","1002",
"종로구","10세","남자인구수","명","501",
"종로구","10세","여자인구수","명","501",
"종로구","11세","총인구수","명","910",
"종로구","11세","남자인구수","명","462",
"종로구","11세","여자인구수","명","448",
"종로구","12세","총인구수","명","1036",
"종로구","12세","남자인구수","명","495",
"종로구","12세","여자인구수","명","541",
"종로구","13세","총인구수","명","1141",
"종로구","13세","남자인구수","명","587",
"종로구","13세","여자인구수","명","554",
"종로구","14세","총인구수","명","1026",
"종로구","14세","남자인구수","명","523",
"종로구","14세","여자인구수","명","503",
"종로구","15세","총인구수","명","995",
"종로구","15세","남자인구수","명","510",
"종로구","15세","여자인구수","명","485",
"종로구","16세","총인구수","명","1092",
"종로구","16세","남자인구수","명","547",
"종로구","16세","여자인구수","명","545",
"종로구","17세","총인구수","명","1121",
"종로구","17세","남자인구수","명","561",
"종로구","17세","여자인구수","명","560",
"종로구","18세","총인구수","명","1127",
"종로구","18세","남자인구수","명","555",
"종로구","18세","여자인구수","명","572",
"종로구","19세","총인구수","명","1463",
"종로구","19세","남자인구수","명","717",
"종로구","19세","여자인구수","명","746",
"종로구","20세","총인구수","명","1775",
"종로구","20세","남자인구수","명","809",
"종로구","20세","여자인구수","명","966",
"종로구","21세","총인구수","명","1897",
"종로구","21세","남자인구수","명","831",
"종로구","21세","여자인구수","명","1066",
"종로구","22세","총인구수","명","2005",
"종로구","22세","남자인구수","명","924",
"종로구","22세","여자인구수","명","1081",
"종로구","23세","총인구수","명","2235",
"종로구","23세","남자인구수","명","1027",
"종로구","23세","여자인구수","명","1208",
"종로구","24세","총인구수","명","2447",
"종로구","24세","남자인구수","명","1222",
"종로구","24세","여자인구수","명","1225",
"종로구","25세","총인구수","명","2614",
"종로구","25세","남자인구수","명","1307",
