"행정구역별(시군구)",2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)",5세 이상 인구-계,제약없음-계,제약있음-계,배우기기억하기집중하기,옷입기목욕하기밥먹기집안돌아다니기,장보기병원가기집밖돌아다니기,(16세이상)취업활동
"장흥군",35183,30516,4667,1904,1363,3050,1341
"강진군",33069,30146,2923,1140,664,2140,540
"해남군",64551,58740,5811,1660,1482,4150,1946
"영암군",53415,49659,3756,1415,1032,2591,1238
"무안군",74695,68881,5814,1964,1371,3487,2634
"함평군",29744,26271,3473,1368,991,2460,1134
"영광군",48046,44169,3877,1935,1252,2486,872
"장성군",39026,34459,4567,1835,1072,2955,1355
"완도군",45416,41246,4170,1459,828,2570,1662
"진도군",27495,24688,2807,1310,698,1706,359
"신안군",34324,30828,3496,1052,744,2311,711
"경상북도",2496884,2346317,150567,59498,42918,103884,51244
"동부",1335691,1281623,54068,21195,15492,36527,18956
"읍부",557816,528784,29032,12418,8998,19112,9996
"면부",603377,535910,67467,25885,18428,48245,22292
"포항시",477022,455157,21865,9332,6215,14039,8028
"남구",226460,217135,9325,3799,2663,5896,3391
"북구",250562,238022,12540,5533,3552,8143,4637
"경주시",240278,227332,12946,4690,3560,8951,4480
"김천시",129391,120229,9162,4123,2687,5824,3622
"안동시",158905,147475,11430,4213,3194,8459,4645
"구미시",386251,375476,10775,4636,3402,7275,3400
"영주시",103938,96541,7397,2696,2187,5140,2807
"영천시",91102,81826,9276,3438,2066,6790,1981
"상주시",94481,84721,9760,3202,2248,6712,3657
"문경시",68362,61809,6553,2721,2009,4628,2156
"경산시",257277,245765,11512,5141,4072,8030,4459
"군위군",21323,19382,1941,745,499,1331,541
"의성군",48973,43199,5774,2181,1686,3985,1450
"청송군",23715,21519,2196,618,443,1669,538
"영양군",16247,14617,1630,492,429,1238,413
"영덕군",34636,31413,3223,1066,855,2277,735
"청도군",39838,35907,3931,1665,1027,2756,1287
"고령군",30988,27996,2992,1290,938,2036,892
"성주군",38015,35503,2512,1045,630,1648,923
"칠곡군",110893,105818,5075,2165,1794,3596,2197
"예천군",40770,36943,3827,1382,1180,2798,1075
