"행정구역별","연령별","항목","단위","2015 년",
"서울특별시","80~84","남자-사별","","8113",
"서울특별시","80~84","남자-이혼","","932",
"서울특별시","80~84","여자-계","","77271",
"서울특별시","80~84","여자-미혼","","1039",
"서울특별시","80~84","여자-배우자있음","","16123",
"서울특별시","80~84","여자-사별","","58766",
"서울특별시","80~84","여자-이혼","","1343",
"서울특별시","85세 이상","내국인(60세 이상)-계","","81098",
"서울특별시","85세 이상","혼인상태-계","","81098",
"서울특별시","85세 이상","미혼","","1029",
"서울특별시","85세 이상","배우자 있음","","19023",
"서울특별시","85세 이상","사별","","59894",
"서울특별시","85세 이상","이혼","","1152",
"서울특별시","85세 이상","남자-계","","22070",
"서울특별시","85세 이상","남자-미혼","","148",
"서울특별시","85세 이상","남자-배우자 있음","","14478",
"서울특별시","85세 이상","남자-사별","","7061",
"서울특별시","85세 이상","남자-이혼","","383",
"서울특별시","85세 이상","여자-계","","59028",
"서울특별시","85세 이상","여자-미혼","","881",
"서울특별시","85세 이상","여자-배우자있음","","4545",
"서울특별시","85세 이상","여자-사별","","52833",
"서울특별시","85세 이상","여자-이혼","","769",
"종로구","합계","내국인(60세 이상)-계","","30831",
"종로구","합계","혼인상태-계","","30831",
"종로구","합계","미혼","","1262",
"종로구","합계","배우자 있음","","20022",
"종로구","합계","사별","","7980",
"종로구","합계","이혼","","1567",
"종로구","합계","남자-계","","13767",
"종로구","합계","남자-미혼","","730",
"종로구","합계","남자-배우자 있음","","11316",
"종로구","합계","남자-사별","","1007",
"종로구","합계","남자-이혼","","714",
"종로구","합계","여자-계","","17064",
"종로구","합계","여자-미혼","","532",
"종로구","합계","여자-배우자있음","","8706",
"종로구","합계","여자-사별","","6973",
"종로구","합계","여자-이혼","","853",
"종로구","60~64","내국인(60세 이상)-계","","8547",
"종로구","60~64","혼인상태-계","","8547",
"종로구","60~64","미혼","","531",
"종로구","60~64","배우자 있음","","6538",
"종로구","60~64","사별","","881",
"종로구","60~64","이혼","","597",
"종로구","60~64","남자-계","","4194",
"종로구","60~64","남자-미혼","","358",
"종로구","60~64","남자-배우자 있음","","3517",
"종로구","60~64","남자-사별","","76",
"종로구","60~64","남자-이혼","","243",
"종로구","60~64","여자-계","","4353",
"종로구","60~64","여자-미혼","","173",
